0 goto ~ ~
500 goto 186 -7
1000 goto 154 104
1500 goto 112 45
2000 goto 110 41
2500 goto 139 24
3000 goto 125 ~
3500 goto 148 -21
4000 goto 89 -37
4500 goto 63 -70
5000 goto -4 -126
5500 goto 1 -175
6000 goto 52 -3
6500 goto 3 57
7000 goto -17 71
7500 goto -95 -44
8000 goto -106 -7
8500 goto -94 -27
9000 goto -100 -27
9500 goto -46 11
10000 goto -49 69
10500 goto -42 121
11000 goto -47 115
11500 goto -35 72
12000 goto -56 27
12500 goto -90 13
13000 goto -129 -3
13500 goto -54 -75
14000 goto 32 -158
14500 goto 108 -58
15000 goto 94 ~
15500 goto 115 ~
16000 goto 179 35
16500 goto 3 1
17500 goto 127 24
18000 goto 100 52
18500 goto 13 125
19000 goto -100 31
19500 goto -153 5
20000 goto -61 -260
20500 goto 28 -149
21000 goto -164 -63
21500 goto -181 29
22000 goto -98 62
22500 goto -78 110
23000 goto -34 142
23500 goto 11 123
24000 goto 76 33
24500 goto 139 18
25000 goto 179 -8
25500 goto 193 -200
26000 goto 135 -182
26500 goto 90 -156
27000 goto 113 58
27500 goto -16 158
28000 goto -3 183
28500 goto -9 107
29000 goto -187 -10
29500 goto -191 -90
30000 goto -103 -171
30500 goto -142 -157
31000 goto -202 67
31500 goto -117 156
32000 goto -49 134
32500 goto 200 76
33000 goto 187 -194
33500 goto 107 -169
34000 goto -49 -98
34500 goto 201 241
35000 goto 36 88
35500 goto 84 85
36000 goto 90 18
36500 goto 292 -193
37000 goto -158 -206
37500 goto -193 108
38000 goto -219 69
38500 goto -357 15
39000 goto -285 18
