0 rotate 0
10 goto ~ ~
1887 goto 186 -7
3541 goto 154 104
4716 goto 112 45
5867 goto 110 41
7291 goto 139 24
8551 goto 125 ~
10062 goto 148 -21
10999 goto 89 -37
11709 goto 63 -70
11885 goto -4 -126
12080 goto 1 -175
12613 goto 52 -3
12710 goto 3 57
12961 goto -17 71
13965 goto -95 -44
15042 goto -106 -7
16019 goto -94 -27
17056 goto -100 -27
17537 goto -46 11
18106 goto -49 69
18657 goto -42 121
19252 goto -47 115
19684 goto -35 72
20281 goto -56 27
21204 goto -90 13
22507 goto -129 -3
23132 goto -54 -75
23620 goto 32 -158
24768 goto 108 -58
25718 goto 94 ~
26878 goto 115 ~
28713 goto 179 35
28754 goto 3 1
30058 goto 127 24
31120 goto 100 52
31385 goto 13 125
32426 goto -100 31
33971 goto -153 5
34851 goto -61 -260
35290 goto 28 -149
37003 goto -164 -63
38852 goto -181 29
39904 goto -98 62
40804 goto -78 110
41296 goto -34 142
41539 goto 11 123
42342 goto 76 33
43760 goto 139 18
45568 goto 179 -8
47708 goto 193 -200
49250 goto 135 -182
50316 goto 90 -156
51514 goto 113 58
51842 goto -16 158
52065 goto -3 183
52272 goto -9 107
54162 goto -187 -10
56172 goto -191 -90
57383 goto -103 -171
58970 goto -142 -157
61067 goto -202 67
62403 goto -117 156
63037 goto -49 134
65123 goto 200 76
67197 goto 187 -194
68446 goto 107 -169
69044 goto -49 -98
71305 goto 201 241
71763 goto 36 88
72698 goto 84 85
73626 goto 90 18
76749 goto 292 -193
78545 goto -158 -206
80593 goto -193 108
82862 goto -219 69
86457 goto -357 15
89335 goto -285 18
